REGION;SALARY;YEAR;INC
ACEH;128000;1997;0
ACEH;147000;1998;19000
ACEH;171000;1999;24000
ACEH;265000;2000;94000
ACEH;300000;2001;35000
ACEH;330000;2002;30000
ACEH;425000;2003;95000
ACEH;550000;2004;125000
ACEH;620000;2005;70000
ACEH;820000;2006;200000
ACEH;850000;2007;30000
ACEH;1000000;2008;150000
ACEH;1200000;2009;200000
ACEH;1300000;2010;100000
ACEH;1350000;2011;50000
ACEH;1400000;2012;50000
ACEH;1550000;2013;150000
ACEH;1750000;2014;200000
ACEH;1900000;2015;150000
ACEH;2118500;2016;218500
ACEH;2500000;2017;381500
ACEH;2700000;2018;200000
ACEH;2916810;2019;216810
ACEH;3165031;2020;248221
ACEH;3165031;2021;0
ACEH;3166460;2022;1429
BALI;141500;1997;0
BALI;162500;1998;21000
BALI;187000;1999;24500
BALI;214000;2000;27000
BALI;309800;2001;95800
BALI;341000;2002;31200
BALI;410000;2003;69000
BALI;425000;2004;15000
BALI;447500;2005;22500
BALI;510000;2006;62500
BALI;622000;2007;112000
BALI;682650;2008;60650
BALI;760000;2009;77350
BALI;829316;2010;69316
BALI;890000;2011;60684
BALI;967500;2012;77500
BALI;1181000;2013;213500
BALI;1542600;2014;361600
BALI;1621172;2015;78572
BALI;1807600;2016;186428
BALI;1956727;2017;149127
BALI;2127157;2018;170430
BALI;2297969;2019;170812
BALI;2494000;2020;196031
BALI;2494000;2021;0
BALI;2516971;2022;22971
BANTEN;176800;1998;0
BANTEN;208800;1999;32000
BANTEN;230000;2000;21200
BANTEN;245000;2001;15000
BANTEN;360000;2002;115000
BANTEN;475000;2003;115000
BANTEN;515000;2004;40000
BANTEN;585000;2005;70000
BANTEN;661613;2006;76613
BANTEN;746500;2007;84887
BANTEN;837000;2008;90500
BANTEN;917500;2009;80500
BANTEN;955300;2010;37800
BANTEN;1000000;2011;44700
BANTEN;1042000;2012;42000
BANTEN;1170000;2013;128000
BANTEN;1325000;2014;155000
BANTEN;1600000;2015;275000
BANTEN;1784000;2016;184000
BANTEN;1931180;2017;147180
BANTEN;2099385;2018;168205
BANTEN;2267990;2019;168605
BANTEN;2460997;2020;193007
BANTEN;2460996;2021;-1
BANTEN;2501203;2022;40207
BENGKULU;127500;1997;0
BENGKULU;146500;1998;19000
BENGKULU;150000;1999;3500
BENGKULU;173000;2000;23000
BENGKULU;240000;2001;67000
BENGKULU;295000;2002;55000
BENGKULU;330000;2003;35000
BENGKULU;363000;2004;33000
BENGKULU;430000;2005;67000
BENGKULU;516000;2006;86000
BENGKULU;644838;2007;128838
BENGKULU;690000;2008;45162
BENGKULU;735000;2009;45000
BENGKULU;780000;2010;45000
BENGKULU;815000;2011;35000
BENGKULU;930000;2012;115000
BENGKULU;1200000;2013;270000
BENGKULU;1350000;2014;150000
BENGKULU;1500000;2015;150000
BENGKULU;1605000;2016;105000
BENGKULU;1730000;2017;125000
BENGKULU;1888741;2018;158741
BENGKULU;2040407;2019;151666
BENGKULU;2213604;2020;173197
BENGKULU;2888564;2021;674960
BENGKULU;2238094;2022;-650470
DI YOGYAKARTA;106500;1997;0
DI YOGYAKARTA;122500;1998;16000
DI YOGYAKARTA;130000;1999;7500
DI YOGYAKARTA;194500;2000;64500
DI YOGYAKARTA;237500;2001;43000
DI YOGYAKARTA;321800;2002;84300
DI YOGYAKARTA;360000;2003;38200
DI YOGYAKARTA;365000;2004;5000
DI YOGYAKARTA;400000;2005;35000
DI YOGYAKARTA;460000;2006;60000
DI YOGYAKARTA;500000;2007;40000
DI YOGYAKARTA;586000;2008;86000
DI YOGYAKARTA;700000;2009;114000
DI YOGYAKARTA;745694;2010;45694
DI YOGYAKARTA;808000;2011;62306
DI YOGYAKARTA;892660;2012;84660
DI YOGYAKARTA;947114;2013;54454
DI YOGYAKARTA;988500;2014;41386
DI YOGYAKARTA;988500;2015;0
DI YOGYAKARTA;988500;2016;0
DI YOGYAKARTA;1337645;2017;349145
DI YOGYAKARTA;1454154;2018;116509
DI YOGYAKARTA;1570923;2019;116769
DI YOGYAKARTA;1704608;2020;133685
DI YOGYAKARTA;1765000;2021;60392
DI YOGYAKARTA;1840951;2022;75951
DKI JAKARTA;172500;1997;0
DKI JAKARTA;198500;1998;26000
DKI JAKARTA;231000;1999;32500
